epoch,train_loss,val_loss
1,0.28991663010997903,0.0604323074221611
2,0.0875614285779496,0.045498285442590714
3,0.07147078198484248,0.042332667857408524
4,0.06449750093743205,0.0411548838019371
5,0.06229449335692657,0.04146571829915047
6,0.0601407243973679,0.03859127685427666
7,0.0583758894354105,0.03905061259865761
8,0.05740425610500905,0.03781113773584366
9,0.05625107641228371,0.038547832518815994
10,0.055819238908588885,0.036990538239479065
11,0.055770036422957976,0.03659841790795326
12,0.05511971036386159,0.036258015781641006
13,0.05484529957175255,0.037993695586919785
14,0.05453652600861258,0.03706232085824013
15,0.05484268518371715,0.03647744655609131
16,0.05331531727893485,0.037590812891721725
17,0.05371740440217157,0.03714650869369507
18,0.053716854601063665,0.03650375455617905
19,0.052778310225241716,0.035868462175130844
20,0.05304792899534934,0.0352904237806797
21,0.053042345028370616,0.03625527396798134
22,0.052133571542799476,0.03537658229470253
23,0.052606366647200455,0.03500978276133537
24,0.052412732804401056,0.036164816468954086
25,0.0527885209924231,0.035883933305740356
26,0.05225144689902663,0.03387588635087013
27,0.05221463835073842,0.03673361614346504
28,0.05136103755277064,0.03587622195482254
29,0.051899562315601444,0.034333113580942154
30,0.05163133107643161,0.0355808287858963
31,0.05215710491562883,0.035464003682136536
32,0.05203928545427819,0.03402232006192207
33,0.05165619001620346,0.03679141774773598
34,0.05211187074374821,0.03631722182035446
35,0.05144095237677296,0.035556480288505554
36,0.051605036999616355,0.03441916033625603
37,0.0514395740814507,0.036412958055734634
38,0.05149372679491838,0.034136299043893814
39,0.05161970314673252,0.03577085956931114
40,0.051262598298490045,0.03366478905081749
41,0.05148093823550476,0.03373003005981445
42,0.05219709296296868,0.03414234519004822
43,0.05157163510512974,0.03612784668803215
44,0.051052756721360816,0.033875472843647
45,0.05080265413141913,0.034014228731393814
46,0.05188260012202793,0.034938059747219086
47,0.05146138982122971,0.03480605408549309
48,0.051494927725030316,0.03461310267448425
49,0.05119585410381357,0.034726064652204514
50,0.05059422165051931,0.034825097769498825
51,0.05150874269505342,0.03550444170832634
52,0.051357403847699365,0.03378693386912346
53,0.05152385701528854,0.0338626392185688
54,0.05139757473435667,0.0336725078523159
55,0.050872949003759355,0.03425292298197746
56,0.0515633856670724,0.034549396485090256
57,0.0516873156444894,0.03635058179497719
58,0.05079119143904083,0.03553909435868263
59,0.05094014420691464,0.03400004282593727
60,0.051469230201716225,0.033639226108789444
61,0.05113425805336899,0.03416929394006729
62,0.05042428847195374,0.033441077917814255
63,0.051290329468126096,0.03401344642043114
64,0.05115157566550705,0.03322542831301689
65,0.05097085527765254,0.033652182668447495
66,0.05133968664643665,0.03309577703475952
67,0.050745552591979506,0.0341770313680172
68,0.05129876276995573,0.03514711186289787
69,0.05056773742350439,0.03639443963766098
70,0.05081660034031504,0.03398150950670242
71,0.051392406033765936,0.034109726548194885
72,0.050684511221738324,0.03453371673822403
73,0.051508580815667906,0.03514691814780235
74,0.05065039507009917,0.033835269510746
75,0.051017949828464124,0.03385946899652481
76,0.050546395545825365,0.03392784297466278
77,0.05086806246803866,0.03544675558805466
78,0.0510228264093813,0.03315964713692665
79,0.050560087451918256,0.033546291291713715
80,0.05086338279975785,0.034649044275283813
81,0.051107462361041044,0.03494647890329361
82,0.05120105604227218,0.03364645317196846
83,0.05073513697522382,0.03448135405778885
84,0.051168161118403076,0.035283152014017105
85,0.0503895993447966,0.033288512378931046
86,0.05130186056097349,0.03444325923919678
87,0.050418685800913306,0.03364124149084091
88,0.05020188020231823,0.03330404683947563
89,0.04894162903850277,0.03417973220348358
90,0.050772496292160615,0.032736264169216156
91,0.050916261862342556,0.034702204167842865
92,0.05091789683534039,0.03388860076665878
93,0.05065292662216558,0.03355930373072624
94,0.05051688953406281,0.03453238308429718
95,0.05050350408483711,0.034789811819791794
96,0.050405663050090276,0.0342571847140789
97,0.05081969555984769,0.034644074738025665
98,0.05122314503209458,0.03331605717539787
99,0.05071254919490053,0.03348063677549362
100,0.05040718181472686,0.03463290259242058
